name,state_code,state_name,country,lat,lng,population
Coquitlam,BC,British Columbia,CA,49.2846,-122.78217,148625
Valencia,CA,California,US,34.44361,-118.60953,148456
Rockford,IL,Illinois,US,42.27113,-89.094,148278
East Hampton,VA,Virginia,US,37.03737,-76.33161,147993
Joliet,IL,Illinois,US,41.52519,-88.0834,147861
Barrie,ON,Ontario,CA,44.40011,-79.66634,147829
Savannah,GA,Georgia,US,32.08354,-81.09983,147780
Paterson,NJ,New Jersey,US,40.91677,-74.17181,147754
Bridgeport,CT,Connecticut,US,41.17923,-73.18945,147629
Naperville,IL,Illinois,US,41.78586,-88.14729,147100
Rosemont-La Petite-Patrie,QC,Quebec,CA,45.53661,-73.60686,146501
Gainesville,FL,Florida,US,29.65163,-82.32483,145214
Villeray-Saint-Michel-Parc-Extension,QC,Quebec,CA,45.55869,-73.60535,144814
Mesquite,TX,Texas,US,32.7668,-96.59916,144788
Kelowna,BC,British Columbia,CA,49.88307,-119.48568,144576
Trois-Rivieres,QC,Quebec,CA,46.34515,-72.5477,144472
Syracuse,NY,New York,US,43.04812,-76.14742,144142
Guelph,ON,Ontario,CA,43.54594,-80.25599,143740
Torrance,CA,California,US,33.83585,-118.34063,143592
Levis,QC,Quebec,CA,46.80326,-71.17793,143414
Surprise,AZ,Arizona,US,33.63059,-112.33322,143148
Mercier-Hochelaga-Maisonneuve,QC,Quebec,CA,45.57194,-73.54626,142753
Metairie Terrace,LA,Louisiana,US,29.97854,-90.16396,142489
Columbia,SC,South Carolina,US,34.00071,-81.03481,142416
Pasadena,CA,California,US,34.14778,-118.14452,142250
Abbotsford,BC,British Columbia,CA,49.05798,-122.25257,141397
Orange,CA,California,US,33.78779,-117.85311,140992
Fullerton,CA,California,US,33.87029,-117.92534,140847
Killeen,TX,Texas,US,31.11712,-97.7278,140806
McAllen,TX,Texas,US,26.20341,-98.23001,140269
Bellevue,WA,Washington,US,47.61038,-122.20068,139820
Whitby,ON,Ontario,CA,43.88342,-78.93287,138501
Metairie,LA,Louisiana,US,29.98409,-90.15285,138481
Hampton,VA,Virginia,US,37.02987,-76.34522,137148
Miramar,FL,Florida,US,25.98731,-80.23227,137132
St. Catharines,ON,Ontario,CA,43.17126,-79.24267,136803
Van Nuys,CA,California,US,34.18667,-118.44897,136443
West Valley City,UT,Utah,US,40.69161,-112.00105,136208
Dayton,OH,Ohio,US,39.75895,-84.19161,135512
Ahuntsic-Cartierville,QC,Quebec,CA,45.56667,-73.66667,135336
Le Vieux-Longueuil,QC,Quebec,CA,45.53721,-73.50773,135218
Olathe,KS,Kansas,US,38.8814,-94.81913,134305
Warren,MI,Michigan,US,42.49044,-83.01304,134056
Thornton,CO,Colorado,US,39.86804,-104.97192,133451
Carrollton,TX,Texas,US,32.95373,-96.89028,133168
Milton,ON,Ontario,CA,43.51681,-79.88294,132979
Charleston,SC,South Carolina,US,32.77632,-79.93275,132609
Langley,BC,British Columbia,CA,49.10107,-122.65883,132603
Midland,TX,Texas,US,31.99735,-102.07791,132524
Kingston,ON,Ontario,CA,44.22976,-76.48098,132485
Waco,TX,Texas,US,31.54933,-97.14667,132356
Sterling Heights,MI,Michigan,US,42.58031,-83.0302,132052
Denton,TX,Texas,US,33.21484,-97.13307,131044
Cedar Rapids,IA,Iowa,US,42.00833,-91.64407,130405
New Haven,CT,Connecticut,US,41.30815,-72.92816,130322
Roseville,CA,California,US,38.75212,-121.28801,130269
Visalia,CA,California,US,36.33023,-119.29206,130104
Cambridge,ON,Ontario,CA,43.3601,-80.31269,129920
Coral Springs,FL,Florida,US,26.27119,-80.2706,129485
Sherbrooke,QC,Quebec,CA,45.40008,-71.89908,129447
Thousand Oaks,CA,California,US,34.17056,-118.83759,129339
Columbia,MO,Missouri,US,38.95171,-92.33407,129330
Elizabeth,NJ,New Jersey,US,40.66399,-74.2107,129007
Stamford,CT,Connecticut,US,41.05343,-73.53873,128874
Concord,CA,California,US,37.97798,-122.03107,128667
Norman,OK,Oklahoma,US,35.22257,-97.43948,128026
Alhambra,AZ,Arizona,US,33.49838,-112.13432,127764
Athens,GA,Georgia,US,33.96095,-83.37794,127315
